201905061600: 0.86,201905061700: 0.89,201905061800: 0.66,201905061900: 0.71,201905062000: 0.69,201905062100: 0.69,201905062200: 0.8,201905062300: 0.99,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.95,201905071200: 0.92,201905071300: 0.79,201905071400: 0.71,201905071500: 0.76,
201905101300: 0.79,201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,201905101800: 0.72,201905101900: 0.77,201905102000: 0.71,201905102100: 0.67,201905102200: 0.75,201905102300: 0.94,201905110800: 0.74,201905110900: 0.89,201905111000: 0.97,201905111100: 1.0,201905111200: 0.98,
201905101400: 0.65,201905101500: 0.61,201905101600: 0.7,201905101700: 0.95,201905101800: 0.72,201905101900: 0.77,201905102000: 0.71,201905102100: 0.67,201905102200: 0.75,201905102300: 0.94,201905110800: 0.74,201905110900: 0.89,201905111000: 0.97,201905111100: 1.0,201905111200: 0.98,201905111300: 0.93,
201905101500: 0.61,201905101600: 0.69,201905101700: 0.94,201905101800: 0.74,201905101900: 0.79,201905102000: 0.73,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.87,201905111000: 0.95,201905111100: 0.98,201905111200: 1.0,201905111300: 0.91,201905111400: 0.77,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101600: 0.7,201905101700: 0.94,201905101800: 0.74,201905101900: 0.78,201905102000: 0.72,201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,
201905101700: 0.92,201905101800: 0.75,201905101900: 0.8,201905102000: 0.74,201905102100: 0.69,201905102200: 0.77,201905102300: 0.98,201905110800: 0.72,201905110900: 0.86,201905111000: 0.94,201905111100: 0.97,201905111200: 0.99,201905111300: 0.9,201905111400: 0.76,201905111500: 0.72,201905111600: 0.77,
201905101800: 0.73,201905101900: 0.77,201905102000: 0.72,201905102100: 0.67,201905102200: 0.75,201905102300: 0.95,201905110800: 0.74,201905110900: 0.89,201905111000: 0.96,201905111100: 1.0,201905111200: 0.98,201905111300: 0.92,201905111400: 0.78,201905111500: 0.73,201905111600: 0.79,201905111700: 0.99,
201905101900: 0.77,201905102000: 0.72,201905102100: 0.67,201905102200: 0.75,201905102300: 0.95,201905110800: 0.74,201905110900: 0.89,201905111000: 0.96,201905111100: 1.0,201905111200: 0.98,201905111300: 0.92,201905111400: 0.78,201905111500: 0.73,201905111600: 0.79,201905111700: 0.99,201905111800: 0.75,
201905102000: 0.74,201905102100: 0.7,201905102200: 0.78,201905102300: 0.98,201905110800: 0.71,201905110900: 0.85,201905111000: 0.93,201905111100: 0.96,201905111200: 0.98,201905111300: 0.89,201905111400: 0.76,201905111500: 0.71,201905111600: 0.77,201905111700: 0.96,201905111800: 0.79,201905111900: 0.81,
201905102100: 0.68,201905102200: 0.76,201905102300: 0.96,201905110800: 0.73,201905110900: 0.88,201905111000: 0.95,201905111100: 0.99,201905111200: 0.99,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,201905111600: 0.78,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,
201905102200: 0.75,201905102300: 0.94,201905110800: 0.74,201905110900: 0.89,201905111000: 0.97,201905111100: 1.0,201905111200: 0.98,201905111300: 0.93,201905111400: 0.78,201905111500: 0.74,201905111600: 0.79,201905111700: 1.0,201905111800: 0.75,201905111900: 0.78,201905112000: 0.72,201905112100: 0.68,
201905102300: 0.95,201905110800: 0.74,201905110900: 0.89,201905111000: 0.97,201905111100: 1.0,201905111200: 0.98,201905111300: 0.92,201905111400: 0.78,201905111500: 0.74,201905111600: 0.79,201905111700: 0.99,201905111800: 0.75,201905111900: 0.78,201905112000: 0.73,201905112100: 0.69,201905112200: 0.77,
201905110800: 0.74,201905110900: 0.89,201905111000: 0.97,201905111100: 1.0,201905111200: 0.98,201905111300: 0.92,201905111400: 0.78,201905111500: 0.74,201905111600: 0.79,201905111700: 0.99,201905111800: 0.75,201905111900: 0.78,201905112000: 0.73,201905112100: 0.69,201905112200: 0.77,201905112300: 0.94,
201905110900: 0.87,201905111000: 0.95,201905111100: 0.98,201905111200: 1.0,201905111300: 0.91,201905111400: 0.77,201905111500: 0.73,201905111600: 0.78,201905111700: 0.98,201905111800: 0.77,201905111900: 0.8,201905112000: 0.74,201905112100: 0.7,201905112200: 0.78,201905112300: 0.95,201905120800: 0.79,
201905111000: 0.93,201905111100: 0.96,201905111200: 0.98,201905111300: 0.89,201905111400: 0.76,201905111500: 0.71,201905111600: 0.77,201905111700: 0.96,201905111800: 0.78,201905111900: 0.81,201905112000: 0.75,201905112100: 0.71,201905112200: 0.8,201905112300: 0.97,201905120800: 0.78,201905120900: 0.93,
201905111100: 0.98,201905111200: 0.99,201905111300: 0.9,201905111400: 0.76,201905111500: 0.72,201905111600: 0.77,201905111700: 0.97,201905111800: 0.77,201905111900: 0.8,201905112000: 0.74,201905112100: 0.7,201905112200: 0.79,201905112300: 0.96,201905120800: 0.79,201905120900: 0.94,201905121000: 0.96,
201905111200: 0.98,201905111300: 0.93,201905111400: 0.78,201905111500: 0.74,201905111600: 0.79,201905111700: 1.0,201905111800: 0.75,201905111900: 0.77,201905112000: 0.72,201905112100: 0.68,201905112200: 0.76,201905112300: 0.93,201905120800: 0.81,201905120900: 0.97,201905121000: 0.93,201905121100: 0.88,
201905111300: 0.93,201905111400: 0.78,201905111500: 0.74,201905111600: 0.79,201905111700: 1.0,201905111800: 0.75,201905111900: 0.77,201905112000: 0.72,201905112100: 0.68,201905112200: 0.76,201905112300: 0.93,201905120800: 0.81,201905120900: 0.97,201905121000: 0.93,201905121100: 0.88,201905121200: 0.85,
201905111400: 0.76,201905111500: 0.72,201905111600: 0.77,201905111700: 0.97,201905111800: 0.78,201905111900: 0.8,201905112000: 0.75,201905112100: 0.71,201905112200: 0.79,201905112300: 0.96,201905120800: 0.79,201905120900: 0.94,201905121000: 0.96,201905121100: 0.91,201905121200: 0.88,201905121300: 1.0,
201905111500: 0.72,201905111600: 0.78,201905111700: 0.97,201905111800: 0.77,201905111900: 0.8,201905112000: 0.74,201905112100: 0.7,201905112200: 0.79,201905112300: 0.96,201905120800: 0.79,201905120900: 0.94,201905121000: 0.96,201905121100: 0.91,201905121200: 0.87,201905121300: 1.0,201905121400: 0.84,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111600: 0.79,201905111700: 0.98,201905111800: 0.76,201905111900: 0.79,201905112000: 0.73,201905112100: 0.69,201905112200: 0.78,201905112300: 0.94,201905120800: 0.8,201905120900: 0.95,201905121000: 0.95,201905121100: 0.9,201905121200: 0.86,201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,
201905111700: 0.95,201905111800: 0.79,201905111900: 0.82,201905112000: 0.76,201905112100: 0.72,201905112200: 0.8,201905112300: 0.98,201905120800: 0.77,201905120900: 0.92,201905121000: 0.98,201905121100: 0.93,201905121200: 0.89,201905121300: 0.98,201905121400: 0.83,201905121500: 0.76,201905121600: 0.8,
201905111800: 0.79,201905111900: 0.82,201905112000: 0.76,201905112100: 0.72,201905112200: 0.8,201905112300: 0.98,201905120800: 0.77,201905120900: 0.92,201905121000: 0.98,201905121100: 0.93,201905121200: 0.89,201905121300: 0.98,201905121400: 0.83,201905121500: 0.76,201905121600: 0.8,201905121700: 0.97,
201905111900: 0.8,201905112000: 0.74,201905112100: 0.7,201905112200: 0.78,201905112300: 0.95,201905120800: 0.79,201905120900: 0.94,201905121000: 0.96,201905121100: 0.9,201905121200: 0.87,201905121300: 1.0,201905121400: 0.85,201905121500: 0.77,201905121600: 0.82,201905121700: 1.0,201905121800: 0.75,
201905112000: 0.74,201905112100: 0.7,201905112200: 0.79,201905112300: 0.96,201905120800: 0.79,201905120900: 0.94,201905121000: 0.96,201905121100: 0.91,201905121200: 0.87,201905121300: 1.0,201905121400: 0.84,201905121500: 0.77,201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,
201905112100: 0.72,201905112200: 0.8,201905112300: 0.98,201905120800: 0.78,201905120900: 0.92,201905121000: 0.98,201905121100: 0.93,201905121200: 0.89,201905121300: 0.98,201905121400: 0.83,201905121500: 0.76,201905121600: 0.81,201905121700: 0.97,201905121800: 0.78,201905121900: 0.78,201905122000: 0.69,
201905112200: 0.81,201905112300: 0.99,201905120800: 0.77,201905120900: 0.91,201905121000: 0.99,201905121100: 0.94,201905121200: 0.9,201905121300: 0.97,201905121400: 0.82,201905121500: 0.75,201905121600: 0.79,201905121700: 0.96,201905121800: 0.79,201905121900: 0.79,201905122000: 0.7,201905122100: 0.66,
201905112300: 0.99,201905120800: 0.77,201905120900: 0.91,201905121000: 0.99,201905121100: 0.94,201905121200: 0.9,201905121300: 0.97,201905121400: 0.82,201905121500: 0.75,201905121600: 0.79,201905121700: 0.96,201905121800: 0.79,201905121900: 0.79,201905122000: 0.7,201905122100: 0.66,201905122200: 0.78,
201905120800: 0.79,201905120900: 0.95,201905121000: 0.96,201905121100: 0.9,201905121200: 0.87,201905121300: 1.0,201905121400: 0.85,201905121500: 0.77,201905121600: 0.82,201905121700: 1.0,201905121800: 0.75,201905121900: 0.75,201905122000: 0.67,201905122100: 0.63,201905122200: 0.75,201905122300: 0.96,
201905120900: 0.96,201905121000: 0.94,201905121100: 0.89,201905121200: 0.86,201905121300: 0.98,201905121400: 0.86,201905121500: 0.78,201905121600: 0.83,201905121700: 0.99,201905121800: 0.75,201905121900: 0.75,201905122000: 0.66,201905122100: 0.63,201905122200: 0.75,201905122300: 0.95,201905130800: 0.79,
201905121000: 0.93,201905121100: 0.88,201905121200: 0.84,201905121300: 0.97,201905121400: 0.87,201905121500: 0.79,201905121600: 0.84,201905121700: 0.97,201905121800: 0.73,201905121900: 0.73,201905122000: 0.65,201905122100: 0.61,201905122200: 0.73,201905122300: 0.93,201905130800: 0.81,201905130900: 0.91,
201905121100: 0.88,201905121200: 0.85,201905121300: 0.97,201905121400: 0.86,201905121500: 0.79,201905121600: 0.84,201905121700: 0.98,201905121800: 0.73,201905121900: 0.73,201905122000: 0.65,201905122100: 0.62,201905122200: 0.74,201905122300: 0.93,201905130800: 0.81,201905130900: 0.9,201905131000: 0.91,
201905121200: 0.85,201905121300: 0.97,201905121400: 0.86,201905121500: 0.79,201905121600: 0.84,201905121700: 0.98,201905121800: 0.73,201905121900: 0.73,201905122000: 0.65,201905122100: 0.62,201905122200: 0.74,201905122300: 0.93,201905130800: 0.81,201905130900: 0.9,201905131000: 0.91,201905131100: 0.89,
201905121300: 0.99,201905121400: 0.85,201905121500: 0.78,201905121600: 0.82,201905121700: 1.0,201905121800: 0.75,201905121900: 0.75,201905122000: 0.67,201905122100: 0.63,201905122200: 0.75,201905122300: 0.95,201905130800: 0.79,201905130900: 0.88,201905131000: 0.88,201905131100: 0.88,201905131200: 0.96,
201905121400: 0.88,201905121500: 0.8,201905121600: 0.85,201905121700: 0.96,201905121800: 0.72,201905121900: 0.72,201905122000: 0.64,201905122100: 0.6,201905122200: 0.72,201905122300: 0.91,201905130800: 0.82,201905130900: 0.92,201905131000: 0.92,201905131100: 0.91,201905131200: 1.0,201905131300: 0.86,
201905121500: 0.73,201905121600: 0.78,201905121700: 0.94,201905121800: 0.81,201905121900: 0.81,201905122000: 0.72,201905122100: 0.68,201905122200: 0.81,201905122300: 0.98,201905130800: 0.73,201905130900: 0.82,201905131000: 0.83,201905131100: 0.82,201905131200: 0.89,201905131300: 0.78,201905131400: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121600: 0.82,201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,
201905121700: 0.99,201905121800: 0.76,201905121900: 0.76,201905122000: 0.67,201905122100: 0.64,201905122200: 0.76,201905122300: 0.96,201905130800: 0.78,201905130900: 0.87,201905131000: 0.88,201905131100: 0.87,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,201905131600: 0.73,
201905121800: 0.76,201905121900: 0.76,201905122000: 0.68,201905122100: 0.64,201905122200: 0.76,201905122300: 0.97,201905130800: 0.78,201905130900: 0.87,201905131000: 0.87,201905131100: 0.86,201905131200: 0.94,201905131300: 0.82,201905131400: 0.66,201905131500: 0.62,201905131600: 0.72,201905131700: 0.96,
201905121900: 0.73,201905122000: 0.65,201905122100: 0.61,201905122200: 0.73,201905122300: 0.93,201905130800: 0.81,201905130900: 0.91,201905131000: 0.91,201905131100: 0.9,201905131200: 0.98,201905131300: 0.85,201905131400: 0.68,201905131500: 0.65,201905131600: 0.75,201905131700: 1.0,201905131800: 0.71,
201905122000: 0.67,201905122100: 0.63,201905122200: 0.75,201905122300: 0.96,201905130800: 0.79,201905130900: 0.88,201905131000: 0.88,201905131100: 0.87,201905131200: 0.96,201905131300: 0.83,201905131400: 0.66,201905131500: 0.63,201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,
201905122100: 0.62,201905122200: 0.74,201905122300: 0.94,201905130800: 0.8,201905130900: 0.89,201905131000: 0.9,201905131100: 0.89,201905131200: 0.97,201905131300: 0.84,201905131400: 0.67,201905131500: 0.64,201905131600: 0.74,201905131700: 0.98,201905131800: 0.72,201905131900: 0.7,201905132000: 0.64,
201905122200: 0.74,201905122300: 0.94,201905130800: 0.8,201905130900: 0.89,201905131000: 0.9,201905131100: 0.89,201905131200: 0.97,201905131300: 0.84,201905131400: 0.67,201905131500: 0.64,201905131600: 0.74,201905131700: 0.98,201905131800: 0.72,201905131900: 0.7,201905132000: 0.64,201905132100: 0.61,
201905122300: 0.95,201905130800: 0.79,201905130900: 0.88,201905131000: 0.88,201905131100: 0.87,201905131200: 0.96,201905131300: 0.83,201905131400: 0.66,201905131500: 0.63,201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,
201905130800: 0.78,201905130900: 0.87,201905131000: 0.87,201905131100: 0.86,201905131200: 0.95,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,201905131600: 0.72,201905131700: 0.96,201905131800: 0.74,201905131900: 0.72,201905132000: 0.66,201905132100: 0.63,201905132200: 0.77,201905132300: 0.96,
201905130900: 0.9,201905131000: 0.9,201905131100: 0.89,201905131200: 0.97,201905131300: 0.84,201905131400: 0.67,201905131500: 0.64,201905131600: 0.74,201905131700: 0.98,201905131800: 0.72,201905131900: 0.7,201905132000: 0.64,201905132100: 0.61,201905132200: 0.75,201905132300: 0.93,201905140800: 0.79,
201905131000: 0.87,201905131100: 0.86,201905131200: 0.94,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,201905131600: 0.72,201905131700: 0.96,201905131800: 0.74,201905131900: 0.72,201905132000: 0.66,201905132100: 0.63,201905132200: 0.77,201905132300: 0.96,201905140800: 0.76,201905140900: 0.86,
201905131100: 0.86,201905131200: 0.94,201905131300: 0.82,201905131400: 0.66,201905131500: 0.63,201905131600: 0.72,201905131700: 0.96,201905131800: 0.74,201905131900: 0.72,201905132000: 0.66,201905132100: 0.63,201905132200: 0.77,201905132300: 0.96,201905140800: 0.76,201905140900: 0.86,201905141000: 0.9,
201905131200: 0.97,201905131300: 0.84,201905131400: 0.67,201905131500: 0.64,201905131600: 0.74,201905131700: 0.98,201905131800: 0.72,201905131900: 0.7,201905132000: 0.64,201905132100: 0.61,201905132200: 0.75,201905132300: 0.93,201905140800: 0.78,201905140900: 0.88,201905141000: 0.93,201905141100: 0.93,
201905131300: 0.83,201905131400: 0.66,201905131500: 0.63,201905131600: 0.73,201905131700: 0.97,201905131800: 0.74,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.77,201905132300: 0.95,201905140800: 0.77,201905140900: 0.87,201905141000: 0.91,201905141100: 0.91,201905141200: 1.0,
201905131400: 0.66,201905131500: 0.63,201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.77,201905140900: 0.87,201905141000: 0.92,201905141100: 0.91,201905141200: 1.0,201905141300: 0.83,
201905131500: 0.63,201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131600: 0.73,201905131700: 0.97,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 1.0,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,
201905131700: 0.98,201905131800: 0.73,201905131900: 0.71,201905132000: 0.65,201905132100: 0.62,201905132200: 0.76,201905132300: 0.94,201905140800: 0.78,201905140900: 0.87,201905141000: 0.92,201905141100: 0.92,201905141200: 0.99,201905141300: 0.83,201905141400: 0.66,201905141500: 0.63,201905141600: 0.71,
